ts,sym,decision_epoch,digit,sigma,ctype,barrier,model_p,model_ev,rtt_ms,cid,status,pnl,exit_lag_s
13:27:55,JD100,1781270872,,4.187,DIGITOVER,6,0.3177,0.0181,137,1986491059,lost,-1.0,1
13:27:57,JD100,1781270875,,4.189,DIGITOVER,5,0.4201,0.0195,133,1986496139,lost,-1.0,1
13:27:59,JD100,1781270876,,4.191,DIGITUNDER,4,0.4201,0.0195,119,1986497039,lost,-1.0,1
13:28:01,JD100,1781270877,,4.193,DIGITOVER,5,0.4201,0.0195,121,1986498519,lost,-1.0,1
13:28:03,JD100,1781270878,,4.194,DIGITUNDER,4,0.4201,0.0195,130,1986499819,won,1.43,1
13:28:05,JD100,1781270880,,4.190,DIGITUNDER,4,0.4201,0.0195,142,1986502519,won,1.43,1
13:28:07,JD100,1781270881,,4.190,DIGITUNDER,4,0.4201,0.0195,97,1986504139,lost,-1.0,1
13:28:09,JD100,1781270886,,4.185,DIGITOVER,6,0.3177,0.0181,125,1986510799,lost,-1.0,1
13:28:11,JD100,1781270888,,4.185,DIGITOVER,6,0.3177,0.0181,150,1986512899,lost,-1.0,1
13:28:17,JD100,1781270894,,4.193,DIGITOVER,5,0.4201,0.0195,182,1986520159,won,1.43,1
13:28:24,JD100,1781270901,,4.195,DIGITOVER,5,0.4201,0.0195,129,1986530079,lost,-1.0,1
13:28:28,JD100,1781270906,,4.189,DIGITOVER,5,0.4201,0.0195,149,1986537019,won,1.43,1
13:28:42,JD100,1781270919,,4.175,DIGITUNDER,4,0.4201,0.0195,117,1986552939,won,1.43,1
13:28:45,JD100,1781270922,,4.165,DIGITUNDER,4,0.4201,0.0195,89,1986555879,won,1.43,1
13:28:47,JD100,1781270924,,4.165,DIGITUNDER,4,0.4201,0.0195,117,1986558239,won,1.43,1
13:28:49,JD100,1781270926,,4.173,DIGITOVER,5,0.4201,0.0195,99,1986560659,won,1.43,1
13:28:51,JD100,1781270927,,4.172,DIGITOVER,5,0.4201,0.0195,95,1986561959,lost,-1.0,1
13:28:53,JD100,1781270929,,4.172,DIGITOVER,5,0.4201,0.0195,107,1986564019,won,1.43,1
13:28:55,JD100,1781270930,,4.172,DIGITOVER,5,0.4201,0.0195,119,1986565039,lost,-1.0,1
13:28:57,JD100,1781270932,,4.176,DIGITUNDER,4,0.4201,0.0195,143,1986567359,lost,-1.0,1
13:28:59,JD100,1781270934,,4.166,DIGITOVER,6,0.3177,0.0181,134,1986569939,lost,-1.0,1
13:29:02,JD100,1781270938,,4.165,DIGITOVER,6,0.3177,0.0181,140,1986574879,lost,-1.0,1
13:29:04,JD100,1781270940,,4.166,DIGITOVER,6,0.3177,0.0181,104,1986577219,won,2.21,1
13:29:06,JD100,1781270941,,4.166,DIGITOVER,5,0.4201,0.0195,106,1986578939,lost,-1.0,1
13:29:11,JD100,1781270948,,4.162,DIGITUNDER,4,0.4201,0.0195,125,1986590619,won,1.43,1
13:29:14,JD100,1781270951,,4.159,DIGITOVER,6,0.3177,0.0181,98,1986594439,lost,-1.0,1
13:29:18,JD100,1781270956,,4.161,DIGITOVER,6,0.3177,0.0181,135,1986599399,won,2.21,1
13:29:20,JD100,1781270957,,4.161,DIGITOVER,5,0.4201,0.0195,108,1986600759,lost,-1.0,1
13:29:22,JD100,1781270959,,4.163,DIGITOVER,5,0.4201,0.0195,112,1986603719,lost,-1.0,1
13:29:50,JD100,1781270987,,4.151,DIGITOVER,6,0.3177,0.0181,101,1986639959,lost,-1.0,1
13:29:53,JD100,1781270990,,4.151,DIGITOVER,6,0.3177,0.0181,108,1986643399,lost,-1.0,1
13:29:56,JD100,1781270991,,4.151,DIGITUNDER,4,0.4201,0.0195,108,1986644419,won,1.43,1
13:31:33,JD100,1781271091,,4.152,DIGITOVER,6,0.3177,0.0181,119,1986775039,lost,-1.0,1
13:31:44,JD100,1781271101,,4.157,DIGITOVER,6,0.3177,0.0181,128,1986786979,lost,-1.0,1
13:31:46,JD100,1781271103,,4.157,DIGITOVER,6,0.3177,0.0181,103,1986789519,lost,-1.0,1
13:31:48,JD100,1781271105,,4.152,DIGITOVER,5,0.4201,0.0195,100,1986792279,won,1.43,1
13:31:50,JD100,1781271106,,4.152,DIGITOVER,6,0.3177,0.0181,142,1986793439,lost,-1.0,1
13:36:32,JD100,1781271390,,4.047,DIGITUNDER,5,0.5301,0.0353,94,1987140859,won,0.95,1
13:36:34,JD100,1781271391,,4.047,DIGITUNDER,5,0.5301,0.0353,134,1987142059,won,0.95,1
13:36:36,JD100,1781271392,,4.047,DIGITUNDER,3,0.3205,0.0273,131,1987143159,won,2.21,1
13:36:38,JD100,1781271393,,4.047,DIGITUNDER,5,0.5301,0.0353,99,1987144559,won,0.95,1
13:36:40,JD100,1781271395,,4.047,DIGITUNDER,3,0.3205,0.0273,111,1987146439,lost,-1.0,1
13:36:42,JD100,1781271396,,4.050,DIGITUNDER,6,0.6301,0.0296,119,1987147679,won,0.63,1
13:40:57,JD100,1781271654,,4.050,DIGITUNDER,3,0.3205,0.0273,101,1987439059,won,2.21,1
13:41:29,JD100,1781271687,,4.049,DIGITUNDER,2,0.2178,0.0276,124,1987478499,lost,-1.0,1
13:41:31,JD100,1781271688,,4.048,DIGITUNDER,2,0.2178,0.0276,122,1987479559,lost,-1.0,1
13:41:36,JD100,1781271693,,4.048,DIGITUNDER,4,0.4247,0.0307,97,1987484259,lost,-1.0,1
13:41:38,JD100,1781271695,,4.048,DIGITUNDER,4,0.4247,0.0307,107,1987486719,won,1.43,1
13:41:40,JD100,1781271696,,4.047,DIGITUNDER,3,0.3205,0.0273,131,1987487819,won,2.21,1
13:41:42,JD100,1781271697,,4.046,DIGITUNDER,3,0.3205,0.0273,101,1987489219,lost,-1.0,1
13:41:44,JD100,1781271698,,4.047,DIGITUNDER,6,0.6301,0.0296,103,1987490039,lost,-1.0,1
13:41:46,JD100,1781271699,,4.044,DIGITOVER,3,0.6274,0.0251,117,1987491919,won,0.63,1
13:41:48,JD100,1781271700,,4.047,DIGITUNDER,2,0.2178,0.0276,136,1987493119,lost,-1.0,1
13:41:50,JD100,1781271701,,4.046,DIGITOVER,4,0.5301,0.0353,123,1987494439,won,0.95,1
13:41:52,JD100,1781271702,,4.046,DIGITOVER,4,0.5301,0.0353,112,1987495139,lost,-1.0,1
13:41:54,JD100,1781271703,,4.049,DIGITUNDER,6,0.6301,0.0296,133,1987496539,won,0.63,1
13:41:56,JD100,1781271705,,4.049,DIGITUNDER,5,0.5301,0.0353,109,1987498819,lost,-1.0,1
13:41:59,JD100,1781271708,,4.048,DIGITUNDER,4,0.4247,0.0307,118,1987501659,won,1.43,1
13:42:01,JD100,1781271709,,4.048,DIGITUNDER,4,0.4247,0.0307,108,1987502879,won,1.43,1
13:42:03,JD100,1781271711,,4.050,DIGITOVER,3,0.6274,0.0251,142,1987504779,won,0.63,1
13:42:05,JD100,1781271712,,4.047,DIGITOVER,5,0.4187,0.0161,128,1987506019,lost,-1.0,1
13:42:07,JD100,1781271714,,4.048,DIGITOVER,5,0.4187,0.0161,161,1987509039,lost,-1.0,1
13:42:09,JD100,1781271715,,4.048,DIGITUNDER,3,0.3205,0.0273,118,1987510019,lost,-1.0,1
13:42:11,JD100,1781271716,,4.049,DIGITOVER,3,0.6274,0.0251,107,1987510999,lost,-1.0,1
13:42:13,JD100,1781271717,,4.046,DIGITUNDER,3,0.3205,0.0273,115,1987512279,lost,-1.0,1
13:42:15,JD100,1781271718,,4.042,DIGITUNDER,2,0.2178,0.0276,101,1987513159,lost,-1.0,1
13:42:17,JD100,1781271719,,4.043,DIGITOVER,3,0.6274,0.0251,107,1987514339,won,0.63,1
13:42:19,JD100,1781271721,,4.043,DIGITUNDER,3,0.3205,0.0273,130,1987516919,lost,-1.0,1
13:42:21,JD100,1781271724,,4.046,DIGITOVER,5,0.4187,0.0161,139,1987520279,lost,-1.0,1
13:49:48,JD100,1781272186,,4.049,DIGITUNDER,2,0.2178,0.0276,192,1988045539,lost,-1.0,1
13:49:50,JD100,1781272188,,4.049,DIGITUNDER,6,0.6301,0.0296,122,1988047939,won,0.63,1
13:49:52,JD100,1781272189,,4.050,DIGITUNDER,3,0.3205,0.0273,99,1988048779,won,2.21,1
