ts,sym,decision_epoch,digit,sigma,ctype,barrier,model_p,model_ev,rtt_ms,cid,status,pnl,exit_lag_s
13:23:33,JD100,1781270610,,4.248,DIGITOVER,5,0.4201,0.0195,113,1986166399,lost,-1.0,1
13:23:35,JD100,1781270611,,4.244,DIGITUNDER,4,0.4201,0.0195,98,1986167679,lost,-1.0,1
13:23:37,JD100,1781270613,,4.245,DIGITOVER,5,0.4201,0.0195,109,1986169579,lost,-1.0,1
13:23:44,JD100,1781270621,,4.249,DIGITOVER,6,0.3177,0.0181,115,1986178379,won,2.21,1
13:23:46,JD100,1781270622,,4.249,DIGITOVER,6,0.3177,0.0181,121,1986179239,lost,-1.0,1
13:23:48,JD100,1781270623,,4.249,DIGITUNDER,4,0.4201,0.0195,137,1986180599,lost,-1.0,1
13:23:50,JD100,1781270624,,4.249,DIGITOVER,5,0.4201,0.0195,147,1986181919,lost,-1.0,1
13:25:43,JD100,1781270740,,4.237,DIGITUNDER,4,0.4201,0.0195,102,1986323899,won,1.43,1
13:25:45,JD100,1781270742,,4.237,DIGITUNDER,4,0.4201,0.0195,158,1986326659,won,1.43,1
13:25:47,JD100,1781270743,,4.237,DIGITUNDER,4,0.4201,0.0195,122,1986327819,lost,-1.0,1
13:25:49,JD100,1781270745,,4.240,DIGITUNDER,4,0.4201,0.0195,107,1986329879,lost,-1.0,1
13:25:51,JD100,1781270747,,4.242,DIGITUNDER,4,0.4201,0.0195,101,1986332519,lost,-1.0,1
13:25:57,JD100,1781270755,,4.241,DIGITUNDER,4,0.4201,0.0195,163,1986342679,won,1.43,1
13:26:05,JD100,1781270762,,4.219,DIGITOVER,6,0.3177,0.0181,150,1986351419,lost,-1.0,1
13:26:07,JD100,1781270764,,4.219,DIGITOVER,6,0.3177,0.0181,135,1986354059,won,2.21,1
13:26:09,JD100,1781270765,,4.212,DIGITOVER,6,0.3177,0.0181,107,1986355279,won,2.21,1
13:26:11,JD100,1781270769,,4.204,DIGITUNDER,4,0.4201,0.0195,107,1986360459,lost,-1.0,1
13:26:13,JD100,1781270770,,4.205,DIGITOVER,6,0.3177,0.0181,108,1986361739,lost,-1.0,1
13:26:15,JD100,1781270773,,4.203,DIGITUNDER,4,0.4201,0.0195,96,1986365119,won,1.43,1
13:26:21,JD100,1781270779,,4.200,DIGITOVER,6,0.3177,0.0181,137,1986375099,lost,-1.0,1
13:26:24,JD100,1781270781,,4.201,DIGITOVER,5,0.4201,0.0195,104,1986381399,won,1.43,1
13:26:33,JD100,1781270790,,4.194,DIGITUNDER,4,0.4201,0.0195,133,1986391639,won,1.43,1
13:26:35,JD100,1781270792,,4.193,DIGITOVER,6,0.3177,0.0181,106,1986393819,lost,-1.0,1
13:26:37,JD100,1781270793,,4.192,DIGITUNDER,4,0.4201,0.0195,110,1986395339,lost,-1.0,1
13:26:39,JD100,1781270796,,4.183,DIGITUNDER,4,0.4201,0.0195,100,1986398779,lost,-1.0,1
13:26:45,JD100,1781270802,,4.189,DIGITUNDER,4,0.4201,0.0195,115,1986405759,lost,-1.0,1
13:26:50,JD100,1781270808,,4.172,DIGITOVER,5,0.4201,0.0195,104,1986414819,lost,-1.0,1
13:26:52,JD100,1781270810,,4.174,DIGITOVER,5,0.4201,0.0195,112,1986417379,lost,-1.0,1
13:26:56,JD100,1781270813,,4.171,DIGITOVER,6,0.3177,0.0181,119,1986420839,lost,-1.0,1
13:26:58,JD100,1781270815,,4.168,DIGITOVER,6,0.3177,0.0181,113,1986422879,won,2.21,1
13:27:00,JD100,1781270816,,4.168,DIGITOVER,6,0.3177,0.0181,111,1986423879,lost,-1.0,1
13:27:02,JD100,1781270820,,4.169,DIGITUNDER,4,0.4201,0.0195,104,1986428659,lost,-1.0,1
13:27:04,JD100,1781270821,,4.170,DIGITOVER,5,0.4201,0.0195,131,1986430099,lost,-1.0,1
13:27:07,JD100,1781270825,,4.173,DIGITOVER,6,0.3177,0.0181,115,1986434659,lost,-1.0,1
13:27:14,JD100,1781270831,,4.168,DIGITOVER,6,0.3177,0.0181,107,1986441639,lost,-1.0,1
13:27:16,JD100,1781270832,,4.167,DIGITUNDER,4,0.4201,0.0195,105,1986442939,lost,-1.0,1
13:27:18,JD100,1781270834,,4.171,DIGITUNDER,4,0.4201,0.0195,107,1986445179,lost,-1.0,1
13:27:20,JD100,1781270837,,4.176,DIGITOVER,5,0.4201,0.0195,119,1986450099,won,1.43,1
13:27:24,JD100,1781270841,,4.176,DIGITUNDER,4,0.4201,0.0195,128,1986454699,lost,-1.0,1
13:27:26,JD100,1781270843,,4.177,DIGITOVER,5,0.4201,0.0195,106,1986456839,lost,-1.0,1
13:27:28,JD100,1781270844,,4.177,DIGITUNDER,4,0.4201,0.0195,136,1986458079,lost,-1.0,1
13:27:31,JD100,1781270848,,4.179,DIGITOVER,6,0.3177,0.0181,125,1986463599,won,2.21,1
13:27:33,JD100,1781270849,,4.176,DIGITOVER,6,0.3177,0.0181,188,1986464979,lost,-1.0,1
13:27:37,JD100,1781270855,,4.171,DIGITOVER,6,0.3177,0.0181,120,1986471439,won,2.21,1
13:27:39,JD100,1781270856,,4.171,DIGITOVER,6,0.3177,0.0181,130,1986473379,won,2.21,1
13:27:41,JD100,1781270857,,4.171,DIGITOVER,5,0.4201,0.0195,156,1986474659,lost,-1.0,1
13:27:43,JD100,1781270858,,4.173,DIGITUNDER,4,0.4201,0.0195,103,1986475699,won,1.43,1
13:27:48,JD100,1781270865,,4.178,DIGITUNDER,4,0.4201,0.0195,112,1986483159,won,1.43,1
