open_time,open,high,low,close,volume,spread,real_volume
2010-09-30 00:00:00,0.9697,0.9733,0.9624,0.9669,12210,0,0
2010-10-01 00:00:00,0.9661,0.9749,0.9635,0.9723,10096,0,0
2010-10-04 00:00:00,0.9728,0.9732,0.9652,0.9682,8731,0,0
2010-10-05 00:00:00,0.9681,0.9725,0.9541,0.9717,11530,0,0
2010-10-06 00:00:00,0.9716,0.9791,0.9693,0.9774,9405,0,0
2010-10-07 00:00:00,0.9773,0.9917,0.9756,0.9824,10922,0,0
2010-10-08 00:00:00,0.9823,0.987,0.9708,0.9849,13064,0,0
2010-10-11 00:00:00,0.9895,0.9909,0.9824,0.9841,8379,0,0
2010-10-12 00:00:00,0.984,0.9879,0.9769,0.9865,11857,0,0
2010-10-13 00:00:00,0.9864,0.9939,0.9836,0.9907,9418,0,0
2010-10-14 00:00:00,0.9906,0.9997,0.9894,0.9943,11595,0,0
2010-10-15 00:00:00,0.9944,1.0002,0.9862,0.9906,13854,0,0
2010-10-18 00:00:00,0.9927,0.9944,0.98,0.9888,11837,0,0
2010-10-19 00:00:00,0.9887,0.9957,0.9661,0.9685,17308,0,0
2010-10-20 00:00:00,0.9686,0.9889,0.9662,0.987,15448,0,0
2010-10-21 00:00:00,0.9869,0.9891,0.9742,0.9772,14948,0,0
2010-10-22 00:00:00,0.9771,0.9853,0.9757,0.9826,11336,0,0
2010-10-29 00:00:00,0.9782,0.9838,0.9678,0.9834,80383,0,0
2010-11-01 00:00:00,0.985,0.9914,0.9813,0.9869,10266,0,0
2010-11-02 00:00:00,0.987,1.0023,0.9865,0.9994,12114,0,0
2010-11-03 00:00:00,0.9996,1.0063,0.9892,1.006,13607,0,0
2010-11-04 00:00:00,1.0059,1.0175,1.002,1.0148,12944,0,0
2010-11-05 00:00:00,1.0147,1.0182,1.0084,1.0159,13232,0,0
2010-11-08 00:00:00,1.0153,1.0165,1.0078,1.0134,11978,0,0
2010-11-09 00:00:00,1.0133,1.0173,0.9998,1.0035,14485,0,0
2010-11-10 00:00:00,1.0034,1.0071,0.9974,1.005,16426,0,0
2010-11-11 00:00:00,1.0049,1.0092,0.9955,0.9978,13297,0,0
2010-11-12 00:00:00,0.9977,1.0003,0.9825,0.9848,18117,0,0
2010-11-15 00:00:00,0.9889,0.9919,0.9812,0.9852,13401,0,0
2010-11-16 00:00:00,0.9853,0.9892,0.9724,0.9766,16583,0,0
2010-11-17 00:00:00,0.9765,0.9833,0.9725,0.9796,16059,0,0
2010-11-18 00:00:00,0.9794,0.9905,0.9786,0.9897,18465,0,0
2010-11-19 00:00:00,0.9896,0.9911,0.9811,0.9864,17089,0,0
2010-11-22 00:00:00,0.9875,0.9953,0.9823,0.9885,18919,0,0
2010-11-23 00:00:00,0.9886,0.9889,0.97071,0.97217,92049,0,0
2010-11-24 00:00:00,0.97191,0.98517,0.9717,0.98154,130904,0,0
2010-11-25 00:00:00,0.98156,0.9849,0.97602,0.98066,101334,0,0
2010-11-26 00:00:00,0.98067,0.98162,0.96112,0.96444,131056,0,0
2010-11-29 00:00:00,0.96822,0.96979,0.95653,0.96295,147762,0,0
2010-11-30 00:00:00,0.96292,0.96592,0.95428,0.95861,156902,0,0
2010-12-01 00:00:00,0.9586,0.96969,0.95358,0.9682,156835,0,0
2010-12-02 00:00:00,0.96809,0.97773,0.96208,0.97685,149005,0,0
2010-12-03 00:00:00,0.97684,0.99371,0.97381,0.99283,123515,0,0
2010-12-06 00:00:00,0.98997,0.99265,0.98475,0.98972,121271,0,0
2010-12-07 00:00:00,0.98973,0.99639,0.98211,0.98274,147385,0,0
2010-12-08 00:00:00,0.98272,0.98546,0.97512,0.97945,150949,0,0
2010-12-09 00:00:00,0.97937,0.98828,0.97746,0.98358,135220,0,0
2010-12-10 00:00:00,0.98355,0.98953,0.98267,0.98523,98167,0,0
2010-12-13 00:00:00,0.9843,0.99833,0.98314,0.99606,92617,0,0
2010-12-14 00:00:00,0.99595,1.00272,0.99413,0.99882,114516,0,0
2010-12-15 00:00:00,0.99884,0.99931,0.98395,0.98676,126993,0,0
2010-12-16 00:00:00,0.98674,0.99059,0.98295,0.99008,109185,0,0
