open_time,open,high,low,close,volume,spread,real_volume
2010-09-30 00:00:00,83.68,83.8,83.16,83.49,5922,0,0
2010-10-01 00:00:00,83.47,83.57,83.15,83.2,4356,0,0
2010-10-04 00:00:00,83.25,83.86,83.18,83.34,4063,0,0
2010-10-05 00:00:00,83.35,83.97,82.95,83.21,5011,0,0
2010-10-06 00:00:00,83.2,83.27,82.75,82.92,4148,0,0
2010-10-07 00:00:00,82.91,83.02,82.11,82.39,4839,0,0
2010-10-08 00:00:00,82.4,82.55,81.72,81.91,5344,0,0
2010-10-11 00:00:00,81.94,82.17,81.37,82.06,3355,0,0
2010-10-12 00:00:00,82.05,82.35,81.66,81.71,4388,0,0
2010-10-13 00:00:00,81.7,82.0,81.67,81.79,4111,0,0
2010-10-14 00:00:00,81.78,81.84,80.88,81.47,4958,0,0
2010-10-15 00:00:00,81.48,81.61,80.87,81.46,5180,0,0
2010-10-18 00:00:00,81.33,81.47,81.09,81.23,4007,0,0
2010-10-19 00:00:00,81.22,81.91,81.1,81.58,5214,0,0
2010-10-20 00:00:00,81.57,81.65,80.84,81.04,4614,0,0
2010-10-21 00:00:00,81.05,81.78,80.88,81.29,6478,0,0
2010-10-22 00:00:00,81.28,81.47,80.95,81.36,4398,0,0
2010-10-29 00:00:00,81.01,81.08,80.388,80.396,9842,0,0
2010-11-01 00:00:00,80.379,81.373,80.245,80.51,27751,0,0
2010-11-02 00:00:00,80.514,80.96,80.468,80.638,25016,0,0
2010-11-03 00:00:00,80.639,81.581,80.603,81.079,27789,0,0
2010-11-04 00:00:00,81.084,81.218,80.587,80.744,32185,0,0
2010-11-05 00:00:00,80.746,81.475,80.622,81.268,31156,0,0
2010-11-08 00:00:00,81.212,81.434,81.006,81.178,24602,0,0
2010-11-09 00:00:00,81.179,81.962,80.536,81.692,34642,0,0
2010-11-10 00:00:00,81.693,82.799,81.553,82.277,42176,0,0
2010-11-11 00:00:00,82.28,82.603,82.044,82.483,27556,0,0
2010-11-12 00:00:00,82.481,82.654,81.657,82.531,39359,0,0
2010-11-15 00:00:00,82.514,83.255,82.398,83.068,32521,0,0
2010-11-16 00:00:00,83.067,83.574,82.838,83.288,35423,0,0
2010-11-17 00:00:00,83.286,83.534,83.023,83.171,31035,0,0
2010-11-18 00:00:00,83.168,83.768,83.088,83.508,54199,0,0
2010-11-19 00:00:00,83.507,83.629,83.124,83.53,45114,0,0
2010-11-22 00:00:00,83.519,83.551,83.218,83.316,51718,0,0
2010-11-23 00:00:00,83.312,83.832,82.776,83.138,62866,0,0
2010-11-24 00:00:00,83.14,83.646,82.931,83.521,62910,0,0
2010-11-25 00:00:00,83.518,83.681,83.388,83.585,36677,0,0
2010-11-26 00:00:00,83.58,84.17,83.554,84.057,48173,0,0
2010-11-29 00:00:00,84.052,84.389,83.809,84.234,47155,0,0
2010-11-30 00:00:00,84.235,84.302,83.411,83.669,56329,0,0
2010-12-01 00:00:00,83.671,84.379,83.366,84.172,67629,0,0
2010-12-02 00:00:00,84.176,84.351,83.475,83.803,58925,0,0
2010-12-03 00:00:00,83.802,83.88,82.513,82.524,58440,0,0
2010-12-06 00:00:00,82.568,82.975,82.557,82.655,49811,0,0
2010-12-07 00:00:00,82.656,83.645,82.326,83.48,69761,0,0
2010-12-08 00:00:00,83.481,84.29,83.449,84.027,74529,0,0
2010-12-09 00:00:00,84.028,84.1,83.501,83.739,67239,0,0
2010-12-10 00:00:00,83.738,84.0,83.44,83.932,47784,0,0
2010-12-13 00:00:00,83.951,84.336,83.089,83.37,50272,0,0
2010-12-14 00:00:00,83.375,83.763,82.83,83.646,62111,0,0
2010-12-15 00:00:00,83.643,84.493,83.59,84.236,72717,0,0
2010-12-16 00:00:00,84.232,84.43,83.885,83.892,53315,0,0
2010-12-17 00:00:00,83.889,84.19,83.677,83.978,53155,0,0
2010-12-20 00:00:00,83.963,84.106,83.619,83.756,37181,0,0
2010-12-21 00:00:00,83.757,83.891,83.487,83.728,42747,0,0
2010-12-22 00:00:00,83.729,83.839,83.402,83.558,35311,0,0
2010-12-23 00:00:00,83.555,83.575,82.845,82.904,30871,0,0
2010-12-24 00:00:00,82.903,83.149,82.856,82.857,19734,0,0
2010-12-27 00:00:00,82.765,82.964,82.639,82.792,31492,0,0
2010-12-28 00:00:00,82.798,82.834,81.799,82.371,53362,0,0
2010-12-29 00:00:00,82.376,82.458,81.593,81.596,40886,0,0
2010-12-30 00:00:00,81.597,81.839,81.277,81.515,40911,0,0
2010-12-31 00:00:00,81.511,81.529,80.929,81.169,24615,0,0
2011-01-03 00:00:00,81.245,81.73,81.207,81.719,26022,0,0
2011-01-04 00:00:00,81.718,82.266,81.595,82.015,59191,0,0
2011-01-05 00:00:00,82.016,83.362,81.866,83.23,65900,0,0
2011-01-06 00:00:00,83.229,83.379,82.866,83.31,58120,0,0
2011-01-07 00:00:00,83.312,83.67,82.839,83.137,58983,0,0
2011-01-10 00:00:00,83.215,83.264,82.653,82.693,35513,0,0
2011-01-11 00:00:00,82.69,83.478,82.669,83.226,44640,0,0
2011-01-12 00:00:00,83.224,83.449,82.797,82.989,43924,0,0
2011-01-13 00:00:00,82.988,83.137,82.532,82.802,51813,0,0
2011-01-14 00:00:00,82.801,83.05,82.397,82.856,56439,0,0
2011-01-17 00:00:00,82.792,82.993,82.34,82.66,31905,0,0
2011-01-18 00:00:00,82.662,82.81,82.32,82.544,51651,0,0
2011-01-19 00:00:00,82.548,82.674,81.839,82.002,60757,0,0
2011-01-20 00:00:00,82.0,83.111,82.0,82.991,57980,0,0
2011-01-21 00:00:00,82.992,83.078,82.52,82.559,48792,0,0
2011-01-24 00:00:00,82.548,82.909,82.294,82.515,38418,0,0
2011-01-25 00:00:00,82.514,82.652,81.97,82.236,51370,0,0
2011-01-26 00:00:00,82.237,82.6,81.97,82.164,51530,0,0
2011-01-27 00:00:00,82.167,83.201,82.011,82.907,61282,0,0
2011-01-28 00:00:00,82.897,82.916,81.976,82.112,62639,0,0
2011-01-31 00:00:00,81.993,82.244,81.9,82.027,53321,0,0
2011-02-01 00:00:00,82.028,82.14,81.304,81.346,57533,0,0
2011-02-02 00:00:00,81.348,81.845,81.345,81.543,56698,0,0
2011-02-03 00:00:00,81.544,82.052,81.394,81.615,47388,0,0
2011-02-04 00:00:00,81.612,82.451,81.113,82.174,55720,0,0
2011-02-07 00:00:00,82.165,82.456,82.149,82.312,48303,0,0
2011-02-08 00:00:00,82.31,82.412,81.763,82.343,53222,0,0
2011-02-09 00:00:00,82.339,82.654,82.192,82.346,52785,0,0
2011-02-10 00:00:00,82.349,83.357,82.326,83.212,54846,0,0
2011-02-11 00:00:00,83.213,83.661,83.209,83.416,47681,0,0
2011-02-14 00:00:00,83.445,83.467,83.042,83.273,44716,0,0
2011-02-15 00:00:00,83.276,83.861,83.145,83.722,59178,0,0
2011-02-16 00:00:00,83.72,83.918,83.442,83.623,59772,0,0
2011-02-17 00:00:00,83.621,83.698,83.104,83.257,47891,0,0
2011-02-18 00:00:00,83.26,83.476,82.977,83.128,44798,0,0
2011-02-21 00:00:00,83.117,83.292,83.059,83.169,16746,0,0
2011-02-22 00:00:00,83.171,83.558,82.597,82.736,50864,0,0
2011-02-23 00:00:00,82.735,82.875,82.306,82.5,36604,0,0
2011-02-24 00:00:00,82.497,82.502,81.573,81.836,39036,0,0
2011-02-25 00:00:00,81.837,82.049,81.633,81.66,25959,0,0
2011-02-28 00:00:00,81.708,82.003,81.648,81.806,23751,0,0
2011-03-01 00:00:00,81.81,82.261,81.764,81.881,28502,0,0
2011-03-02 00:00:00,81.882,82.135,81.6,81.89,26144,0,0
2011-03-03 00:00:00,81.888,82.5,81.711,82.427,28625,0,0
2011-03-04 00:00:00,82.426,83.049,82.204,82.301,28640,0,0
2011-03-07 00:00:00,82.333,82.413,81.978,82.226,23294,0,0
2011-03-08 00:00:00,82.229,82.837,82.198,82.652,21344,0,0
2011-03-09 00:00:00,82.651,82.918,82.564,82.725,24258,0,0
2011-03-10 00:00:00,82.726,83.154,82.686,82.968,30621,0,0
2011-03-11 00:00:00,82.97,83.282,81.644,81.837,42172,0,0
2011-03-14 00:00:00,81.665,82.442,80.606,81.613,64480,0,0
2011-03-15 00:00:00,81.614,82.025,80.597,80.705,69031,0,0
2011-03-16 00:00:00,80.706,81.166,79.554,79.571,63453,0,0
2011-03-17 00:00:00,79.572,79.73,76.506,78.879,135984,0,0
2011-03-18 00:00:00,78.878,81.976,78.82,80.573,111071,0,0
2011-03-21 00:00:00,80.848,81.301,80.718,81.011,34584,0,0
2011-03-22 00:00:00,81.012,81.27,80.837,80.953,35686,0,0
2011-03-23 00:00:00,80.951,81.056,80.692,80.902,37647,0,0
2011-03-24 00:00:00,80.903,81.042,80.751,80.957,31793,0,0
2011-03-25 00:00:00,80.956,81.478,80.86,81.317,30349,0,0
2011-03-28 00:00:00,81.393,81.792,81.3,81.639,28350,0,0
2011-03-29 00:00:00,81.638,82.424,81.491,82.417,33397,0,0
2011-03-30 00:00:00,82.416,83.128,82.315,82.83,42546,0,0
2011-03-31 00:00:00,82.831,83.237,82.582,83.144,45064,0,0
2011-04-01 00:00:00,83.145,84.745,83.145,84.075,50723,0,0
2011-04-04 00:00:00,84.21,84.398,83.872,84.073,29860,0,0
2011-04-05 00:00:00,84.074,84.889,84.051,84.883,41492,0,0
2011-04-06 00:00:00,84.884,85.541,84.86,85.508,54049,0,0
2011-04-07 00:00:00,85.507,85.515,84.611,84.935,54939,0,0
2011-04-08 00:00:00,84.938,85.407,84.697,84.78,46235,0,0
2011-04-11 00:00:00,84.902,85.174,84.531,84.618,44222,0,0
2011-04-12 00:00:00,84.617,84.799,83.481,83.595,70352,0,0
2011-04-13 00:00:00,83.594,84.279,83.522,83.855,55793,0,0
2011-04-14 00:00:00,83.854,83.949,82.975,83.513,55749,0,0
2011-04-15 00:00:00,83.512,83.798,82.975,83.143,44485,0,0
2011-04-18 00:00:00,83.224,83.278,82.204,82.669,55939,0,0
2011-04-19 00:00:00,82.671,82.776,82.336,82.6,47466,0,0
2011-04-20 00:00:00,82.601,83.116,82.274,82.571,51417,0,0
2011-04-21 00:00:00,82.572,82.609,81.636,81.867,49676,0,0
2011-04-22 00:00:00,81.868,82.121,81.682,81.884,20277,0,0
2011-04-25 00:00:00,81.823,82.444,81.688,81.85,33189,0,0
2011-04-26 00:00:00,81.851,81.99,81.506,81.57,40049,0,0
2011-04-27 00:00:00,81.569,82.812,81.286,82.17,56998,0,0
2011-04-28 00:00:00,82.169,82.292,81.418,81.548,47095,0,0
2011-04-29 00:00:00,81.549,81.668,81.06,81.218,23963,0,0
2011-05-02 00:00:00,81.235,81.7,81.021,81.234,26901,0,0
2011-05-03 00:00:00,81.233,81.291,80.715,80.952,34479,0,0
2011-05-04 00:00:00,80.954,81.207,80.452,80.635,37540,0,0
2011-05-05 00:00:00,80.636,80.71,79.583,80.092,55968,0,0
2011-05-06 00:00:00,80.093,80.955,80.089,80.644,73114,0,0
2011-05-09 00:00:00,80.649,80.859,80.199,80.37,44722,0,0
2011-05-10 00:00:00,80.371,80.919,80.176,80.893,44395,0,0
2011-05-11 00:00:00,80.894,81.338,80.634,81.058,48993,0,0
2011-05-12 00:00:00,81.059,81.353,80.727,80.956,46021,0,0
2011-05-13 00:00:00,80.957,81.105,80.357,80.798,46465,0,0
2011-05-16 00:00:00,80.894,81.081,80.653,80.808,30319,0,0
2011-05-17 00:00:00,80.807,81.785,80.755,81.431,39772,0,0
2011-05-18 00:00:00,81.43,81.738,80.957,81.687,33525,0,0
2011-05-19 00:00:00,81.689,82.247,81.492,81.627,37051,0,0
2011-05-20 00:00:00,81.628,81.88,81.498,81.738,29922,0,0
2011-05-23 00:00:00,81.813,82.057,81.337,82.02,46611,0,0
2011-05-24 00:00:00,82.018,82.226,81.636,81.971,40975,0,0
2011-05-25 00:00:00,81.972,82.187,81.814,81.983,43552,0,0
2011-05-26 00:00:00,81.984,82.1,81.173,81.303,41857,0,0
2011-05-27 00:00:00,81.302,81.431,80.721,80.819,46236,0,0
2011-05-30 00:00:00,80.759,80.994,80.742,80.952,25466,0,0
2011-05-31 00:00:00,80.953,81.788,80.733,81.507,47520,0,0
2011-06-01 00:00:00,81.506,81.543,80.666,80.944,44160,0,0
2011-06-02 00:00:00,80.943,81.307,80.556,80.878,45027,0,0
2011-06-03 00:00:00,80.879,80.996,80.04,80.264,38883,0,0
2011-06-06 00:00:00,80.216,80.364,80.01,80.087,8827,0,0
2011-06-07 00:00:00,80.088,80.316,79.974,80.085,25980,0,0
2011-06-08 00:00:00,80.084,80.261,79.684,79.88,36233,0,0
2011-06-09 00:00:00,79.879,80.403,79.824,80.349,36589,0,0
2011-06-10 00:00:00,80.348,80.447,79.955,80.311,31366,0,0
2011-06-13 00:00:00,80.268,80.674,80.105,80.228,31671,0,0
2011-06-14 00:00:00,80.227,80.609,80.073,80.473,29019,0,0
2011-06-15 00:00:00,80.472,81.042,80.369,80.94,31989,0,0
2011-06-16 00:00:00,80.941,81.04,80.472,80.628,40206,0,0
2011-06-17 00:00:00,80.629,80.661,80.0,80.031,29406,0,0
2011-06-20 00:00:00,80.14,80.352,80.012,80.241,23614,0,0
2011-06-21 00:00:00,80.24,80.33,80.04,80.195,17954,0,0
2011-06-22 00:00:00,80.196,80.37,80.003,80.27,20251,0,0
2011-06-23 00:00:00,80.272,80.781,80.272,80.496,28624,0,0
2011-06-24 00:00:00,80.498,80.589,80.124,80.403,24027,0,0
2011-06-27 00:00:00,80.32,80.961,80.315,80.838,24452,0,0
2011-06-28 00:00:00,80.837,81.253,80.648,81.113,24445,0,0
2011-06-29 00:00:00,81.112,81.171,80.548,80.759,26490,0,0
2011-06-30 00:00:00,80.758,80.851,80.253,80.551,28639,0,0
2011-07-01 00:00:00,80.552,81.127,80.489,80.815,22311,0,0
2011-07-04 00:00:00,80.81,80.89,80.526,80.784,18391,0,0
2011-07-05 00:00:00,80.785,81.172,80.696,81.053,23122,0,0
2011-07-06 00:00:00,81.054,81.109,80.757,80.897,20405,0,0
2011-07-07 00:00:00,80.898,81.397,80.784,81.228,20775,0,0
2011-07-08 00:00:00,81.23,81.46,80.49,80.612,21502,0,0
2011-07-11 00:00:00,80.54,80.814,80.095,80.246,21133,0,0
2011-07-12 00:00:00,80.247,80.36,79.162,79.224,38594,0,0
2011-07-13 00:00:00,79.223,79.558,78.493,78.962,37753,0,0
2011-07-14 00:00:00,78.961,79.554,78.455,79.119,43836,0,0
2011-07-15 00:00:00,79.12,79.26,78.881,79.115,24265,0,0
2011-07-18 00:00:00,79.093,79.166,78.939,79.024,17713,0,0
2011-07-19 00:00:00,79.025,79.262,78.809,79.16,20787,0,0
2011-07-20 00:00:00,79.159,79.302,78.697,78.762,20372,0,0
2011-07-21 00:00:00,78.763,79.013,78.274,78.287,31593,0,0
2011-07-22 00:00:00,78.288,78.714,78.212,78.523,23156,0,0
2011-07-25 00:00:00,78.3,78.538,78.044,78.271,25473,0,0
2011-07-26 00:00:00,78.272,78.678,77.818,77.863,30305,0,0
2011-07-27 00:00:00,77.864,78.15,77.561,77.961,23866,0,0
2011-07-28 00:00:00,77.962,78.009,77.62,77.668,21853,0,0
2011-07-29 00:00:00,77.666,77.85,76.722,76.747,33276,0,0
2011-08-01 00:00:00,77.151,78.024,76.284,77.193,53379,0,0
2011-08-02 00:00:00,77.192,77.805,76.948,77.142,45255,0,0
2011-08-03 00:00:00,77.141,77.385,76.768,77.046,40702,0,0
2011-08-04 00:00:00,77.047,80.22,76.965,78.863,86843,0,0
2011-08-05 00:00:00,78.862,79.4,78.308,78.401,65202,0,0
2011-08-08 00:00:00,77.973,78.453,77.489,77.755,53986,0,0
2011-08-09 00:00:00,77.754,77.845,76.691,76.941,75647,0,0
2011-08-10 00:00:00,76.942,77.292,76.336,76.846,48202,0,0
2011-08-11 00:00:00,76.847,77.21,76.295,76.827,55949,0,0
2011-08-12 00:00:00,76.826,77.005,76.501,76.694,29010,0,0
2011-08-15 00:00:00,76.833,77.08,76.577,76.824,23702,0,0
2011-08-16 00:00:00,76.823,76.912,76.638,76.789,22386,0,0
2011-08-17 00:00:00,76.788,76.822,76.397,76.583,20621,0,0
2011-08-18 00:00:00,76.585,76.698,76.438,76.557,21710,0,0
2011-08-19 00:00:00,76.558,76.948,75.939,76.53,34265,0,0
2011-08-22 00:00:00,76.755,77.191,76.545,76.777,24998,0,0
2011-08-23 00:00:00,76.779,76.922,76.458,76.64,21280,0,0
2011-08-24 00:00:00,76.641,77.058,76.463,76.962,24884,0,0
2011-08-25 00:00:00,76.961,77.683,76.829,77.451,27131,0,0
2011-08-26 00:00:00,77.45,77.506,76.488,76.656,28910,0,0
2011-08-29 00:00:00,76.74,77.001,76.562,76.821,20654,0,0
2011-08-30 00:00:00,76.822,76.967,76.601,76.723,20243,0,0
2011-08-31 00:00:00,76.724,76.824,76.413,76.642,19993,0,0
2011-09-01 00:00:00,76.643,77.226,76.567,76.908,30211,0,0
2011-09-02 00:00:00,76.909,76.955,76.528,76.794,20737,0,0
2011-09-05 00:00:00,76.895,76.961,76.679,76.875,14846,0,0
2011-09-06 00:00:00,76.874,77.71,76.711,77.644,33481,0,0
2011-09-07 00:00:00,77.645,77.698,77.059,77.235,28675,0,0
2011-09-08 00:00:00,77.234,77.582,77.129,77.486,24552,0,0
2011-09-09 00:00:00,77.485,77.842,77.084,77.575,33151,0,0
2011-09-12 00:00:00,77.447,77.573,76.741,77.204,36141,0,0
2011-09-13 00:00:00,77.202,77.238,76.793,76.938,28466,0,0
2011-09-14 00:00:00,76.939,77.05,76.589,76.617,22864,0,0
