epoch,price,last_digit
1780815937,272024.48,8
1780815938,272032.46,6
1780815939,272030.71,1
1780815940,272037.90,0
1780815941,272040.22,2
1780815942,272059.52,2
1780815943,272086.88,8
1780815944,272057.66,6
1780815945,271991.83,3
1780815946,271963.36,6
1780815947,271924.75,5
1780815948,271925.97,7
1780815949,271915.67,7
1780815950,271947.93,3
1780815951,271962.59,9
1780815952,271880.99,9
1780815953,271826.84,4
1780815954,271820.26,6
1780815955,271828.47,7
1780815956,271827.56,6
1780815957,271827.73,3
1780815958,271800.84,4
1780815959,271778.35,5
1780815960,271716.01,1
1780815961,271719.94,4
1780815962,271731.09,9
1780815963,271725.35,5
1780815964,271738.93,3
1780815965,271756.41,1
1780815966,271803.25,5
1780815967,271741.20,0
1780815968,271732.55,5
1780815969,271748.77,7
1780815970,271754.96,6
1780815971,271784.50,0
1780815972,271774.69,9
1780815973,271748.71,1
1780815974,271728.24,4
1780815975,271714.09,9
1780815976,271670.54,4
1780815977,271631.26,6
1780815978,271638.96,6
1780815979,271666.72,2
1780815980,271674.79,9
1780815981,271704.33,3
1780815982,271720.42,2
1780815983,271680.77,7
1780815984,271684.55,5
1780815985,271667.65,5
1780815986,271655.11,1
1780815987,271670.94,4
1780815988,271642.54,4
1780815989,271645.74,4
1780815990,271621.31,1
1780815991,271653.78,8
1780815992,271637.47,7
1780815993,271583.76,6
1780815994,271551.57,7
1780815995,271561.31,1
1780815996,271546.82,2
1780815997,271565.81,1
1780815998,271538.44,4
1780815999,271571.50,0
1780816000,271565.52,2
1780816001,271586.45,5
1780816002,271556.98,8
1780816003,271543.94,4
1780816004,271568.47,7
1780816005,271575.56,6
1780816006,271555.62,2
1780816007,271551.11,1
1780816008,271554.13,3
1780816009,271522.27,7
1780816010,271510.35,5
1780816011,271504.35,5
1780816012,271490.73,3
1780816013,271500.52,2
1780816014,271504.18,8
1780816015,271457.18,8
1780816016,271478.52,2
1780816017,271477.27,7
1780816018,271508.39,9
1780816019,271496.59,9
1780816020,271503.70,0
1780816021,271513.50,0
1780816022,271539.85,5
1780816023,271554.13,3
1780816024,271568.25,5
1780816025,271586.25,5
1780816026,271589.44,4
1780816027,271587.40,0
1780816028,271557.38,8
1780816029,271611.64,4
1780816030,271636.10,0
1780816031,271630.19,9
1780816032,271595.99,9
1780816033,271599.17,7
1780816034,271584.70,0
1780816035,271614.08,8
1780816036,271638.80,0
1780816037,271602.07,7
1780816038,271579.10,0
1780816039,271620.42,2
1780816040,271643.36,6
1780816041,271617.05,5
1780816042,271649.97,7
1780816043,271608.60,0
1780816044,271532.13,3
1780816045,271496.64,4
1780816046,271438.25,5
1780816047,271395.37,7
1780816048,271388.66,6
1780816049,271386.13,3
1780816050,271390.83,3
1780816051,271398.56,6
1780816052,271440.23,3
1780816053,271449.70,0
1780816054,271445.44,4
1780816055,271437.58,8
1780816056,271395.09,9
1780816057,271404.59,9
1780816058,271401.59,9
1780816059,271366.56,6
1780816060,271366.33,3
1780816061,271358.06,6
1780816062,271329.54,4
1780816063,271327.74,4
1780816064,271344.51,1
1780816065,271397.80,0
1780816066,271442.08,8
1780816067,271442.45,5
1780816068,271431.81,1
1780816069,271431.22,2
1780816070,271413.54,4
1780816071,271387.32,2
1780816072,271335.46,6
1780816073,271346.52,2
1780816074,271349.87,7
1780816075,271404.39,9
1780816076,271407.48,8
1780816077,271403.51,1
1780816078,271406.38,8
1780816079,271446.89,9
1780816080,271461.75,5
1780816081,271512.24,4
1780816082,271520.85,5
1780816083,271531.81,1
1780816084,271490.17,7
1780816085,271483.19,9
1780816086,271479.96,6
1780816087,271511.11,1
1780816088,271513.44,4
1780816089,271530.85,5
1780816090,271541.40,0
1780816091,271520.94,4
1780816092,271530.72,2
1780816093,271544.71,1
1780816094,271556.75,5
1780816095,271526.47,7
1780816096,271555.98,8
1780816097,271542.66,6
1780816098,271534.52,2
1780816099,271560.10,0
1780816100,271546.17,7
1780816101,271515.86,6
1780816102,271491.03,3
1780816103,271494.42,2
1780816104,271503.26,6
1780816105,271491.91,1
1780816106,271440.33,3
1780816107,271427.14,4
1780816108,271448.57,7
1780816109,271417.18,8
1780816110,271393.36,6
1780816111,271373.16,6
1780816112,271418.99,9
1780816113,271400.13,3
1780816114,271395.38,8
1780816115,271405.75,5
1780816116,271405.85,5
1780816117,271423.69,9
1780816118,271407.97,7
1780816119,271395.04,4
1780816120,271404.23,3
1780816121,271385.10,0
1780816122,271417.02,2
1780816123,271427.26,6
1780816124,271415.83,3
1780816125,271442.80,0
1780816126,271442.88,8
1780816127,271405.58,8
1780816128,271395.06,6
1780816129,271358.43,3
1780816130,271392.10,0
1780816131,271396.65,5
1780816132,271347.94,4
1780816133,271346.29,9
1780816134,271367.80,0
1780816135,271385.85,5
1780816136,271395.31,1
1780816137,271433.72,2
1780816138,271438.35,5
1780816139,271412.66,6
1780816140,271379.60,0
1780816141,271358.61,1
1780816142,271326.47,7
1780816143,271299.29,9
1780816144,271302.39,9
1780816145,271315.48,8
1780816146,271279.74,4
1780816147,271275.97,7
1780816148,271297.21,1
1780816149,271302.80,0
1780816150,271332.38,8
1780816151,271321.78,8
1780816152,271284.59,9
1780816153,271260.49,9
1780816154,271299.53,3
1780816155,271297.17,7
1780816156,271304.90,0
1780816157,271307.42,2
1780816158,271322.41,1
1780816159,271310.77,7
1780816160,271302.92,2
1780816161,271310.00,0
1780816162,271338.51,1
1780816163,271373.71,1
1780816164,271384.82,2
