symbol,contract,barrier,p_win,stake,payout,payout_mult,ev_per_10,house_edge_pct
1HZ100V,DIGITOVER,7,0.2,10.0,47.17,4.717,-0.566,5.66
1HZ100V,DIGITOVER,8,0.1,10.0,89.29,8.929,-1.071,10.71
1HZ100V,DIGITUNDER,1,0.1,10.0,89.29,8.929,-1.071,10.71
1HZ100V,DIGITUNDER,2,0.2,10.0,47.17,4.717,-0.566,5.66
1HZ100V,DIGITUNDER,3,0.3,10.0,32.05,3.205,-0.385,3.85
1HZ100V,DIGITUNDER,4,0.4,10.0,24.27,2.427,-0.292,2.92
1HZ100V,DIGITUNDER,5,0.5,10.0,19.53,1.953,-0.235,2.35
1HZ100V,DIGITUNDER,6,0.6,10.0,16.34,1.634,-0.196,1.96
1HZ100V,DIGITUNDER,7,0.7,10.0,14.04,1.404,-0.172,1.72
1HZ100V,DIGITUNDER,8,0.8,10.0,12.32,1.232,-0.144,1.44
1HZ100V,DIGITUNDER,9,0.9,10.0,10.96,1.096,-0.136,1.36
1HZ100V,DIGITEVEN,,0.5,10.0,19.53,1.953,-0.235,2.35
1HZ100V,DIGITODD,,0.5,10.0,19.53,1.953,-0.235,2.35
1HZ100V,DIGITMATCH,0,0.1,10.0,89.29,8.929,-1.071,10.71
1HZ100V,DIGITMATCH,1,0.1,10.0,89.29,8.929,-1.071,10.71
1HZ100V,DIGITMATCH,2,0.1,10.0,89.29,8.929,-1.071,10.71
1HZ100V,DIGITMATCH,3,0.1,10.0,89.29,8.929,-1.071,10.71
1HZ100V,DIGITMATCH,4,0.1,10.0,89.29,8.929,-1.071,10.71
1HZ100V,DIGITMATCH,5,0.1,10.0,89.29,8.929,-1.071,10.71
1HZ100V,DIGITMATCH,6,0.1,10.0,89.29,8.929,-1.071,10.71
1HZ100V,DIGITMATCH,7,0.1,10.0,89.29,8.929,-1.071,10.71
1HZ100V,DIGITMATCH,8,0.1,10.0,89.29,8.929,-1.071,10.71
1HZ100V,DIGITMATCH,9,0.1,10.0,89.29,8.929,-1.071,10.71
1HZ100V,DIGITDIFF,0,0.9,10.0,10.96,1.096,-0.136,1.36
