epoch,price,last_digit
1780815937,766141.41,1
1780815938,766167.51,1
1780815939,766113.12,2
1780815940,766118.39,9
1780815941,766126.43,3
1780815942,766172.67,7
1780815943,766182.39,9
1780815944,766180.41,1
1780815945,766178.65,5
1780815946,766125.01,1
1780815947,766108.96,6
1780815948,766053.39,9
1780815949,766011.68,8
1780815950,766024.41,1
1780815951,766041.51,1
1780815952,766035.05,5
1780815953,766023.54,4
1780815954,766006.78,8
1780815955,766013.35,5
1780815956,766019.27,7
1780815957,765984.41,1
1780815958,765971.93,3
1780815959,765955.59,9
1780815960,765939.05,5
1780815961,765932.50,0
1780815962,765903.01,1
1780815963,765910.05,5
1780815964,765939.49,9
1780815965,765937.51,1
1780815966,765945.26,6
1780815967,766007.28,8
1780815968,766003.56,6
1780815969,766011.83,3
1780815970,765994.24,4
1780815971,766009.86,6
1780815972,765942.10,0
1780815973,765983.92,2
1780815974,765969.62,2
1780815975,765953.34,4
1780815976,765980.03,3
1780815977,765957.46,6
1780815978,765893.40,0
1780815979,765892.85,5
1780815980,765912.67,7
1780815981,765933.15,5
1780815982,765962.71,1
1780815983,765937.97,7
1780815984,765966.49,9
1780815985,765947.84,4
1780815986,765954.46,6
1780815987,766001.29,9
1780815988,766059.87,7
1780815989,766017.93,3
1780815990,766044.76,6
1780815991,766033.68,8
1780815992,766071.57,7
1780815993,766064.78,8
1780815994,766120.70,0
1780815995,766095.74,4
1780815996,766100.54,4
1780815997,766107.47,7
1780815998,766128.03,3
1780815999,766162.37,7
1780816000,766157.71,1
1780816001,766158.15,5
1780816002,766168.03,3
1780816003,766179.55,5
1780816004,766177.39,9
1780816005,766149.35,5
1780816006,766140.91,1
1780816007,766145.88,8
1780816008,766144.37,7
1780816009,766099.74,4
1780816010,766151.78,8
1780816011,766192.28,8
1780816012,766218.69,9
1780816013,766199.29,9
1780816014,766201.08,8
1780816015,766221.01,1
1780816016,766212.38,8
1780816017,766236.34,4
1780816018,766249.41,1
1780816019,766276.40,0
1780816020,766293.42,2
1780816021,766244.57,7
1780816022,766267.08,8
1780816023,766273.43,3
1780816024,766223.29,9
1780816025,766228.74,4
1780816026,766135.81,1
1780816027,766096.27,7
1780816028,766091.96,6
1780816029,766123.95,5
1780816030,766113.85,5
1780816031,766133.63,3
1780816032,766088.16,6
1780816033,766075.80,0
1780816034,766114.69,9
1780816035,766114.25,5
1780816036,766146.12,2
1780816037,766152.31,1
1780816038,766145.72,2
1780816039,766058.44,4
1780816040,766120.73,3
1780816041,766133.30,0
1780816042,766082.45,5
1780816043,766054.04,4
1780816044,766122.70,0
1780816045,766193.27,7
1780816046,766179.94,4
1780816047,766125.78,8
1780816048,766094.33,3
1780816049,766074.80,0
1780816050,766034.90,0
1780816051,766073.91,1
1780816052,766028.39,9
1780816053,765984.48,8
1780816054,765977.95,5
1780816055,765922.77,7
1780816056,765889.40,0
1780816057,765893.43,3
1780816058,765878.37,7
1780816059,765840.91,1
1780816060,765826.40,0
1780816061,765837.67,7
1780816062,765843.94,4
1780816063,765877.91,1
1780816064,765875.85,5
1780816065,765812.98,8
1780816066,765770.77,7
1780816067,765772.85,5
1780816068,765763.68,8
1780816069,765728.00,0
1780816070,765671.09,9
1780816071,765689.61,1
1780816072,765684.46,6
1780816073,765721.47,7
1780816074,765756.90,0
1780816075,765796.40,0
1780816076,765776.86,6
1780816077,765769.30,0
1780816078,765779.96,6
1780816079,765759.76,6
1780816080,765732.37,7
1780816081,765753.22,2
1780816082,765780.34,4
1780816083,765739.60,0
1780816084,765780.47,7
